name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kevin Durant","Golden State Warriors",2017-10-23,2017,3202,1610612744,400974796,3,8,00,0,"Driving Floating Bank Jump Shot","2PT Field Goal",3,"Dallas Mavericks",22,31,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-17,2017,3202,1610612744,400974438,3,5,14,1,"Driving Floating Bank Jump Shot","2PT Field Goal",9,"Houston Rockets",88,41,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-01,2017,3202,1610612744,400975899,1,1,17,1,"Driving Floating Bank Jump Shot","2PT Field Goal",8,"Phoenix Suns",-57,67,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-20,2017,3202,1610612744,400975425,1,8,45,0,"Driving Floating Bank Jump Shot","2PT Field Goal",8,"Houston Rockets",-53,61,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-29,2017,3202,1610612744,400974842,3,8,30,1,"Driving Floating Bank Jump Shot","2PT Field Goal",7,"Detroit Pistons",-38,64,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-06,2017,3202,1610612744,400974899,1,10,43,1,"Driving Floating Bank Jump Shot","2PT Field Goal",11,"Miami Heat",101,46,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-27,2017,3202,1610612744,400975260,2,4,32,1,"Driving Floating Bank Jump Shot","2PT Field Goal",6,"Utah Jazz",-57,22,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-10,2017,3202,1610612744,400975359,3,3,31,1,"Driving Floating Bank Jump Shot","2PT Field Goal",11,"Los Angeles Clippers",98,55,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-14,2017,3202,1610612744,400975168,1,8,36,1,"Driving Floating Bank Jump Shot","2PT Field Goal",9,"Dallas Mavericks",89,18,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-14,2017,3202,1610612744,400975610,1,5,42,1,"Driving Floating Bank Jump Shot","2PT Field Goal",4,"Portland Trail Blazers",32,29,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-14,2017,3202,1610612744,400975168,1,10,32,0,"Driving Floating Bank Jump Shot","2PT Field Goal",13,"Dallas Mavericks",-73,113,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,1,4,27,1,"Driving Floating Jump Shot","2PT Field Goal",9,"Dallas Mavericks",-95,31,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-03,2017,3202,1610612744,400975909,2,1,25,1,"Driving Floating Jump Shot","2PT Field Goal",8,"Oklahoma City Thunder",80,8,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,1,7,01,1,"Driving Floating Jump Shot","2PT Field Goal",6,"New Orleans Pelicans",-1,69,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-03,2017,3202,1610612744,400975909,2,1,03,1,"Driving Floating Jump Shot","2PT Field Goal",2,"Oklahoma City Thunder",21,8,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-25,2017,3202,1610612744,400974814,1,11,22,1,"Driving Floating Jump Shot","2PT Field Goal",7,"Toronto Raptors",-35,71,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-03,2017,3202,1610612744,400975909,3,3,33,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Oklahoma City Thunder",-62,8,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-04,2017,3202,1610612744,400975097,1,5,53,0,"Driving Floating Jump Shot","2PT Field Goal",8,"New Orleans Pelicans",-69,45,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,3,0,35,1,"Driving Floating Jump Shot","2PT Field Goal",7,"New Orleans Pelicans",9,75,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-06,2017,3202,1610612744,400975109,3,4,19,1,"Driving Floating Jump Shot","2PT Field Goal",3,"Charlotte Hornets",8,34,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-27,2017,3202,1610612744,400975474,2,11,33,1,"Driving Floating Jump Shot","2PT Field Goal",7,"Boston Celtics",-6,71,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-03,2017,3202,1610612744,400975909,1,5,35,1,"Driving Floating Jump Shot","2PT Field Goal",12,"Oklahoma City Thunder",-68,110,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-26,2017,3202,1610612744,400975646,2,1,01,0,"Driving Floating Jump Shot","2PT Field Goal",9,"New York Knicks",90,22,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-22,2017,3202,1610612744,400975014,1,10,47,0,"Driving Floating Jump Shot","2PT Field Goal",15,"Oklahoma City Thunder",-148,41,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,3,2,53,0,"Driving Floating Jump Shot","2PT Field Goal",6,"Dallas Mavericks",44,46,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-21,2017,3202,1610612744,400974784,2,10,47,0,"Fadeaway Jump Shot","2PT Field Goal",14,"Memphis Grizzlies",-55,132,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-28,2017,3202,1610612744,400975663,2,5,31,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Washington Wizards",78,168,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-14,2017,3202,1610612744,400975168,1,9,19,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Dallas Mavericks",-103,146,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-23,2017,3202,1610612744,400974796,3,9,32,1,"Fadeaway Jump Shot","2PT Field Goal",13,"Dallas Mavericks",-47,122,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-04,2017,3202,1610612744,400974886,2,4,18,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Denver Nuggets",163,21,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,3,0,02,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Portland Trail Blazers",24,178,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-16,2017,3202,1610612744,400974966,1,7,12,0,"Fadeaway Jump Shot","2PT Field Goal",22,"Boston Celtics",103,203,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-14,2017,3202,1610612744,400975610,3,2,09,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Portland Trail Blazers",158,110,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-24,2017,3202,1610612744,400975633,2,6,27,0,"Fadeaway Jump Shot","2PT Field Goal",14,"Oklahoma City Thunder",128,74,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-04,2017,3202,1610612744,400975097,3,8,38,1,"Fadeaway Jump Shot","2PT Field Goal",9,"New Orleans Pelicans",3,92,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,3,5,05,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Toronto Raptors",-9,153,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-06,2017,3202,1610612744,400975109,1,4,57,1,"Fadeaway Jump Shot","2PT Field Goal",11,"Charlotte Hornets",-90,64,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-01,2017,3202,1610612744,400975069,3,10,54,1,"Fadeaway Jump Shot","2PT Field Goal",10,"Orlando Magic",105,30,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-16,2017,3202,1610612744,400974966,2,6,32,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Boston Celtics",83,130,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-26,2017,3202,1610612744,400975646,2,4,15,0,"Fadeaway Jump Shot","2PT Field Goal",15,"New York Knicks",32,156,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-01,2017,3202,1610612744,400975899,1,8,31,1,"Fadeaway Jump Shot","2PT Field Goal",10,"Phoenix Suns",-108,9,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-12,2017,3202,1610612744,400975368,1,0,38,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Milwaukee Bucks",-76,137,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,2,0,41,1,"Fadeaway Jump Shot","2PT Field Goal",8,"Philadelphia 76ers",39,75,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-17,2017,3202,1610612744,400974438,2,6,43,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Houston Rockets",156,28,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-12,2017,3202,1610612744,400975368,4,2,49,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Milwaukee Bucks",-56,162,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,4,2,37,0,"Fadeaway Jump Shot","2PT Field Goal",14,"Portland Trail Blazers",-105,101,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-01,2017,3202,1610612744,400975899,2,2,55,1,"Fadeaway Jump Shot","2PT Field Goal",13,"Phoenix Suns",54,122,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-13,2017,3202,1610612744,400975377,2,3,30,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Toronto Raptors",95,152,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,3,4,49,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Charlotte Hornets",117,120,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-02,2017,3202,1610612744,400975520,4,9,47,1,"Fadeaway Jump Shot","2PT Field Goal",9,"Sacramento Kings",-5,96,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-08,2017,3202,1610612744,400975561,3,5,33,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Dallas Mavericks",94,131,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-02,2017,3202,1610612744,400975520,1,8,54,1,"Fadeaway Jump Shot","2PT Field Goal",15,"Sacramento Kings",103,115,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-02,2017,3202,1610612744,400975520,2,4,18,0,"Fadeaway Jump Shot","2PT Field Goal",12,"Sacramento Kings",67,100,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,1,10,56,0,"Fadeaway Jump Shot","2PT Field Goal",22,"New Orleans Pelicans",160,151,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-30,2017,3202,1610612744,400975497,1,2,01,0,"Fadeaway Jump Shot","2PT Field Goal",9,"Utah Jazz",-55,79,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-31,2017,3202,1610612744,400975888,3,10,59,1,"Fadeaway Jump Shot","2PT Field Goal",12,"Sacramento Kings",-125,0,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-16,2017,3202,1610612744,400974966,4,0,12,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Boston Celtics",154,21,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-22,2017,3202,1610612744,400975618,3,8,39,0,"Fadeaway Jump Shot","2PT Field Goal",10,"Los Angeles Clippers",-90,48,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-03,2017,3202,1610612744,400975528,4,10,58,0,"Fadeaway Jump Shot","2PT Field Goal",14,"Denver Nuggets",138,46,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,3,11,41,0,"Fadeaway Jump Shot","2PT Field Goal",10,"New Orleans Pelicans",-49,92,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-31,2017,3202,1610612744,400975888,1,8,04,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Sacramento Kings",184,59,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-28,2017,3202,1610612744,400975663,2,2,42,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Washington Wizards",29,192,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-06,2017,3202,1610612744,400975109,3,8,05,0,"Fadeaway Jump Shot","2PT Field Goal",10,"Charlotte Hornets",74,68,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,4,2,58,1,"Fadeaway Jump Shot","2PT Field Goal",11,"New Orleans Pelicans",-112,10,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-29,2017,3202,1610612744,400975874,1,4,22,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Milwaukee Bucks",-133,111,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,3,9,29,1,"Fadeaway Jump Shot","2PT Field Goal",12,"New Orleans Pelicans",51,114,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-10-17,2017,3202,1610612744,400974438,2,5,45,1,"Floating Jump shot","2PT Field Goal",7,"Houston Rockets",4,74,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-06,2017,3202,1610612744,400975549,3,10,25,1,"Floating Jump shot","2PT Field Goal",7,"Oklahoma City Thunder",71,14,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-05,2017,3202,1610612744,400975921,1,5,49,1,"Floating Jump shot","2PT Field Goal",14,"Indiana Pacers",60,128,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-10,2017,3202,1610612744,400975359,1,4,53,1,"Floating Jump shot","2PT Field Goal",14,"Los Angeles Clippers",-117,83,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-27,2017,3202,1610612744,400975260,1,8,27,0,"Floating Jump shot","2PT Field Goal",12,"Utah Jazz",-9,120,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-03,2017,3202,1610612744,400975528,2,8,57,1,"Floating Jump shot","2PT Field Goal",14,"Denver Nuggets",-117,84,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-29,2017,3202,1610612744,400975063,2,8,43,0,"Floating Jump shot","2PT Field Goal",5,"Los Angeles Lakers",15,55,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-14,2017,3202,1610612744,400975168,3,0,02,0,"Floating Jump shot","2PT Field Goal",12,"Dallas Mavericks",9,122,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-10,2017,3202,1610612744,400975963,1,10,50,1,"Floating Jump shot","2PT Field Goal",13,"Utah Jazz",2,130,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-05,2017,3202,1610612744,400975921,1,3,43,1,"Floating Jump shot","2PT Field Goal",18,"Indiana Pacers",-80,162,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-12,2017,3202,1610612744,400975592,3,3,01,1,"Floating Jump shot","2PT Field Goal",12,"Phoenix Suns",-62,104,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-06,2017,3202,1610612744,400975109,2,3,47,1,"Floating Jump shot","2PT Field Goal",11,"Charlotte Hornets",11,113,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-30,2017,3202,1610612744,400975281,3,2,21,0,"Floating Jump shot","2PT Field Goal",10,"Memphis Grizzlies",-106,20,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-29,2017,3202,1610612744,400975063,3,1,08,0,"Floating Jump shot","2PT Field Goal",3,"Los Angeles Lakers",-31,22,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-06,2017,3202,1610612744,400975109,4,7,19,0,"Floating Jump shot","2PT Field Goal",8,"Charlotte Hornets",70,50,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,3,6,22,0,"Floating Jump shot","2PT Field Goal",15,"Portland Trail Blazers",-139,58,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-06,2017,3202,1610612744,400974899,4,6,41,1,"Jump Bank Shot","3PT Field Goal",26,"Miami Heat",-160,216,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-07,2017,3202,1610612744,400975941,3,1,54,1,"Jump Bank Shot","2PT Field Goal",12,"New Orleans Pelicans",-54,114,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,2,1,14,1,"Jump Bank Shot","2PT Field Goal",6,"Philadelphia 76ers",5,67,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-02,2017,3202,1610612744,400975674,2,0,39,0,"Jump Bank Shot","2PT Field Goal",6,"Atlanta Hawks",62,32,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-01,2017,3202,1610612744,400975069,1,2,52,1,"Jump Bank Shot","2PT Field Goal",8,"Orlando Magic",-47,74,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,3,1,50,0,"Jump Shot","3PT Field Goal",28,"Memphis Grizzlies",130,248,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,4,4,10,1,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",165,199,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,3,11,49,0,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",115,232,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,4,4,33,1,"Jump Shot","3PT Field Goal",25,"Charlotte Hornets",144,214,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,1,6,52,0,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",-143,207,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-20,2017,3202,1610612744,400975215,3,3,39,0,"Jump Shot","3PT Field Goal",26,"Memphis Grizzlies",153,215,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-20,2017,3202,1610612744,400975425,1,5,43,1,"Jump Shot","3PT Field Goal",23,"Houston Rockets",-233,5,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-20,2017,3202,1610612744,400975425,4,0,31,0,"Jump Shot","3PT Field Goal",25,"Houston Rockets",-155,204,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-20,2017,3202,1610612744,400975425,3,4,41,0,"Jump Shot","3PT Field Goal",25,"Houston Rockets",188,173,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-20,2017,3202,1610612744,400975425,3,10,24,1,"Jump Shot","3PT Field Goal",25,"Houston Rockets",-22,257,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-14,2017,3202,1610612744,400975610,1,1,11,1,"Jump Shot","3PT Field Goal",24,"Portland Trail Blazers",-199,147,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,4,1,07,0,"Jump Shot","3PT Field Goal",25,"Portland Trail Blazers",178,185,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-20,2017,3202,1610612744,400975425,2,3,54,0,"Jump Shot","2PT Field Goal",15,"Houston Rockets",-155,17,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-20,2017,3202,1610612744,400975425,2,1,29,0,"Jump Shot","2PT Field Goal",3,"Houston Rockets",-24,22,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-29,2017,3202,1610612744,400975274,2,5,06,0,"Jump Shot","2PT Field Goal",17,"Charlotte Hornets",158,73,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-08,2017,3202,1610612744,400975949,1,3,31,0,"Jump Shot","2PT Field Goal",13,"Phoenix Suns",114,79,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-08,2017,3202,1610612744,400975949,3,5,56,0,"Jump Shot","2PT Field Goal",13,"Phoenix Suns",-56,118,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-05,2017,3202,1610612744,400975921,4,11,19,0,"Jump Shot","3PT Field Goal",23,"Indiana Pacers",-230,64,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-08,2017,3202,1610612744,400975949,2,0,13,1,"Jump Shot","3PT Field Goal",27,"Phoenix Suns",45,276,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-08,2017,3202,1610612744,400975949,2,5,35,1,"Jump Shot","3PT Field Goal",26,"Phoenix Suns",-166,208,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-08,2017,3202,1610612744,400975949,3,4,54,1,"Jump Shot","2PT Field Goal",18,"Phoenix Suns",131,133,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,1,5,42,0,"Jump Shot","2PT Field Goal",11,"Portland Trail Blazers",46,109,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-05,2017,3202,1610612744,400975921,3,6,54,0,"Jump Shot","3PT Field Goal",26,"Indiana Pacers",158,214,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-08,2017,3202,1610612744,400975949,1,9,20,0,"Jump Shot","3PT Field Goal",24,"Phoenix Suns",241,56,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-12,2017,3202,1610612744,400975368,4,2,19,1,"Jump Shot","3PT Field Goal",26,"Milwaukee Bucks",-12,269,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-29,2017,3202,1610612744,400975874,1,9,56,0,"Jump Shot","2PT Field Goal",21,"Milwaukee Bucks",-147,154,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-29,2017,3202,1610612744,400975874,1,3,33,1,"Jump Shot","2PT Field Goal",16,"Milwaukee Bucks",98,134,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-28,2017,3202,1610612744,400975663,1,0,58,0,"Jump Shot","3PT Field Goal",26,"Washington Wizards",-130,230,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-29,2017,3202,1610612744,400975874,1,9,03,1,"Jump Shot","3PT Field Goal",28,"Milwaukee Bucks",139,246,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-26,2017,3202,1610612744,400975646,1,8,18,1,"Jump Shot","3PT Field Goal",22,"New York Knicks",221,59,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-29,2017,3202,1610612744,400975874,1,11,27,0,"Jump Shot","3PT Field Goal",27,"Milwaukee Bucks",-159,221,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-26,2017,3202,1610612744,400975646,1,3,40,1,"Jump Shot","2PT Field Goal",9,"New York Knicks",83,55,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,2,1,45,0,"Jump Shot","3PT Field Goal",28,"Portland Trail Blazers",160,241,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,3,1,30,0,"Jump Shot","2PT Field Goal",16,"Dallas Mavericks",73,146,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,2,0,58,1,"Jump Shot","2PT Field Goal",14,"Dallas Mavericks",147,-5,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,1,3,37,1,"Jump Shot","2PT Field Goal",14,"Dallas Mavericks",143,24,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,3,2,36,1,"Jump Shot","3PT Field Goal",25,"Dallas Mavericks",-27,256,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,4,1,39,0,"Jump Shot","2PT Field Goal",20,"Dallas Mavericks",180,104,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,1,0,28,0,"Jump Shot","3PT Field Goal",25,"Dallas Mavericks",145,214,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,1,9,38,0,"Jump Shot","3PT Field Goal",25,"Dallas Mavericks",132,214,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,3,7,41,0,"Jump Shot","2PT Field Goal",16,"Dallas Mavericks",-100,127,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,3,4,16,1,"Jump Shot","2PT Field Goal",19,"Dallas Mavericks",-101,167,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,3,0,39,0,"Jump Shot","2PT Field Goal",19,"Dallas Mavericks",180,69,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,3,3,51,0,"Jump Shot","3PT Field Goal",27,"Dallas Mavericks",-63,268,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,2,1,45,1,"Jump Shot","2PT Field Goal",15,"Dallas Mavericks",-25,153,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-03-29,2017,3202,1610612744,400975874,2,2,39,0,"Jump Shot","3PT Field Goal",26,"Milwaukee Bucks",136,232,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,1,7,08,0,"Jump Shot","2PT Field Goal",14,"Dallas Mavericks",142,48,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,1,10,54,0,"Jump Shot","2PT Field Goal",13,"Portland Trail Blazers",65,119,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-03,2017,3202,1610612744,400975308,3,9,32,0,"Jump Shot","3PT Field Goal",24,"Dallas Mavericks",204,133,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,3,9,25,1,"Jump Shot","2PT Field Goal",10,"Portland Trail Blazers",100,43,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-04,2017,3202,1610612744,400975097,3,6,25,0,"Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",102,236,0,0.00,,0.00,0.00
